Name,Smiles
BSJ-03-096,O=C1N(C2CCCC2)C3=NC(NC4=CC=C(N5CCN(CC6CCN(C7=CC=C(C(N(C8CCC(NC8=O)=O)C9=O)=O)C9=C7)CC6)CC5)C=N4)=NC=C3C(C)=C1C(C)=O
BSJ-05-017,CC1=C(C2=CC=C([C@H](C)NC([C@H]3N(C[C@@H](C3)O)C([C@@H](NC(CCCCN4CCN(CC4)C5=CC=C(NC6=NC=C7C(N(C(C(C(C)=O)=C7C)=O)C8CCCC8)=N6)N=C5)=O)C(C)(C)C)=O)=O)C=C2)SC=N1
dBET1,ClC1=C([H])C([H])=C(C([H])=C1[H])C2=N[C@](C([H])([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(C([H])([H])OC3=C([H])C([H])=C([H])C4=C3C(N(C4=O)C5([H])C([H])([H])C([H])([H])C(N([H])C5=O)=O)=O)=O)=O)([H])C6=NN=C(C([H])([H])[H])N6C7=C2C(C([H])([H])[H])=C(C([H])([H])[H])S7
dBET6,ClC1=C([H])C([H])=C(C([H])=C1[H])C2=N[C@](C([H])([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(C([H])([H])OC3=C([H])C([H])=C([H])C4=C3C(N(C4=O)C5([H])C([H])([H])C([H])([H])C(N([H])C5=O)=O)=O)=O)=O)([H])C6=NN=C(C([H])([H])[H])N6C7=C2C(C([H])([H])[H])=C(C([H])([H])[H])S7
dTRIM24,O=C([C@@](C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])N([H])C(C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])N([H])C(C1=C([H])C(S(=O)(N([H])C2=C([H])C(N3C([H])([H])[H])=C(C([H])=C2OC4=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C([H])([H])[H])=C4[H])N(C([H])([H])[H])C3=O)=O)=C([H])C([H])=C1[H])=O)=O)N(C5([H])[H])[C@@](C(N([H])C([H])([H])C6=C([H])C([H])=C(C7=C(C([H])([H])[H])N=C([H])S7)C([H])=C6[H])=O)([H])C([H])([H])[C@@]5([H])O[H]
MS432,IC1=C([H])C(F)=C(C([H])=C1[H])N([H])C2=C(C([H])=C([H])C(F)=C2F)C(N([H])OC([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(N([H])[C@@](C(N(C3([H])[H])[C@@](C(N([H])[C@](C([H])([H])[H])([H])C4=C([H])C([H])=C(C5=C(C([H])([H])[H])N=C([H])S5)C([H])=C4[H])=O)([H])C([H])([H])[C@@]3([H])O[H])=O)([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)=O
ARV825,ClC1=C([H])C([H])=C(C([H])=C1[H])C2=N[C@](C([H])([H])C(N([H])C(C([H])=C3[H])=C([H])C([H])=C3OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])N([H])C4=C([H])C([H])=C([H])C5=C4C(N(C5=O)C6([H])C([H])([H])C([H])([H])C(N([H])C6=O)=O)=O)=O)([H])C7=NN=C(C([H])([H])[H])N7C8=C2C(C([H])([H])[H])=C(C([H])([H])[H])S8
THAL-SNS-032,O=C(C1([H])C([H])([H])C([H])([H])N(C([H])([H])C(N([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])N([H])C2=C([H])C([H])=C([H])C3=C2C(N(C3=O)C4([H])C([H])([H])C([H])([H])C(N([H])C4=O)=O)=O)=O)C([H])([H])C1([H])[H])N([H])C5=NC([H])=C(SC([H])([H])C6=NC([H])=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])O6)S5
MS39,COC(C(OCCCN1CCN(CC1)C(CCCCCCCCCC(N[C@@H](C(C)(C)C)C(N2[C@@H](C[C@H](C2)O)C(NCC3=CC=C(C4=C(C)N=CS4)C=C3)=O)=O)=O)=O)=C5)=CC6=C5C(NC7=CC(Cl)=C(C=C7)F)=NC=N6
MS4078,CC(C)S(C1=C(NC2=NC(NC3=C(OC(C)C)C=C(C4CCN(CC(NCCNC5=C(C(N(C6C(NC(CC6)=O)=O)C7=O)=O)C7=CC=C5)=O)CC4)C(C)=C3)=NC=C2Cl)C=CC=C1)(=O)=O
GMB-475,FC(F)(OC1=C([H])C([H])=C(C([H])=C1[H])N([H])C2=NC([H])=NC(C3=C([H])C([H])=C(C([H])=C3[H])OC([H])([H])C([H])([H])OC([H])([H])C(N([H])[C@@](C(N(C4([H])[H])[C@@](C(N([H])C([H])([H])C5=C([H])C([H])=C(C6=C(C([H])([H])[H])N=C([H])S6)C([H])=C5[H])=O)([H])C([H])([H])[C@@]4([H])O[H])=O)([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)=C2[H])F
PROTAC B-Raf degrader 1 ,O=C(C(C([H])([H])C1([H])[H])([H])N2C(C(C(N([H])C(C([H])([H])N([H])C(C([H])([H])N([H])C(C([H])=C(C([H])=C3[H])C([H])([H])S(=O)(/C([H])=C([H])/C(C(OC([H])([H])[H])=C([H])C(OC([H])([H])[H])=C4[H])=C4OC([H])([H])[H])=O)=C3OC([H])([H])[H])=O)=O)=C([H])C([H])=C5[H])=C5C2=O)=O)N([H])C1=O
PROTAC RIPK degrader-2 ,O=C([C@@](C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])N([H])C(C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC1=C([H])C2=NC([H])=C([H])C(N([H])C(C([H])=C3[H])=C([H])C4=C3SC([H])=N4)=C2C([H])=C1S(=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)=O)N(C5([H])[H])[C@@](C(N([H])C([H])([H])C6=C([H])C([H])=C(C7=C(C([H])([H])[H])N=C([H])S7)C([H])=C6[H])=O)([H])C([H])([H])[C@@]5([H])O[H]
PROTAC CRBN Degrader-1 ,O=C([C@@](C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])N([H])C(C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C(N([H])C([H])([H])C([H])([H])N([H])C1=C([H])C([H])=C([H])C2=C1C(N(C2=O)C3([H])C([H])([H])C([H])([H])C(N([H])C3=O)=O)=O)=O)=O)N(C4([H])[H])[C@@](C(N([H])C([H])([H])C5=C([H])C([H])=C(C6=C(C([H])([H])[H])N=C([H])S6)C([H])=C5[H])=O)([H])C([H])([H])[C@@]4([H])O[H]
ACBI1,FC1(C(N([H])[C@@](C(N(C2([H])[H])[C@@](C(N([H])C([H])([H])C(C([H])=C([H])C(C3=C(C([H])([H])[H])N=C([H])S3)=C4[H])=C4OC([H])([H])C([H])([H])OC5=C([H])C([H])=C(C([H])=C5[H])C([H])([H])N6C([H])([H])C([H])([H])N(C7=C([H])C(C8=C([H])C([H])=C([H])C([H])=C8O[H])=NN=C7N([H])[H])C([H])([H])C6([H])[H])=O)([H])C([H])([H])[C@@]2([H])O[H])=O)([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)C([H])([H])C1([H])[H]
UNC6852,O=C([C@@](C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])N([H])C(C([H])([H])C([H])([H])C([H])([H])N([H])C(C1=C([H])C([H])=C(C2=C([H])N=C(N([H])C([H])([H])C3=C([H])C([H])=C([H])O3)N4C2=NN=C4[H])C([H])=C1[H])=O)=O)N(C5([H])[H])[C@@](C(N([H])C([H])([H])C6=C([H])C([H])=C(C7=C(C([H])([H])[H])N=C([H])S7)C([H])=C6[H])=O)([H])C([H])([H])[C@@]5([H])O[H]
MS177,O=C(C(C([H])([H])C1([H])[H])([H])N2C(C(C(N([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C(N([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])N(C4=NC([H])=C(C5=C([H])C(C(N([H])C([H])([H])C6=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])N([H])C6=O)=O)=C7C(N(C(C([H])([H])[H])([H])C([H])([H])[H])N=C7[H])=C5[H])C([H])=C4[H])C([H])([H])C3([H])[H])=O)=C([H])C([H])=C8[H])=C8C2=O)=O)N([H])C1=O
MS8815,O=C([C@@](C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])N([H])C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(N1C([H])([H])C([H])([H])N(C([H])([H])C(C([H])=C2[H])=C([H])C([H])=C2C3=C([H])C(C(N([H])C([H])([H])C4=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])N([H])C4=O)=O)=C(C([H])([H])[H])C(N(C([H])([H])C([H])([H])[H])C5([H])C([H])([H])C([H])([H])OC([H])([H])C5([H])[H])=C3[H])C([H])([H])C1([H])[H])=O)=O)N(C6([H])[H])[C@@](C(N([H])C([H])([H])C7=C([H])C([H])=C(C8=C(C([H])([H])[H])N=C([H])S8)C([H])=C7[H])=O)([H])C([H])([H])[C@@]6([H])O[H]
MS8815 linker 2,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(COCC(N[C](C(C)(C)C)C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 3,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCOCC[C](N[C@@H](C(C)(C)C)C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 4,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(COCCO[C]C(NC(C(C)(C)C)C(N6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 5,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCOCCOCCC(NC(C(C)(C)C)C(N6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 6,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(COCCO[C]COCC(N[C@@H](C(C)(C)C)C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 7,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCOCCOCCOCCC(NC(C(C)(C)C)C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 8,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCOCCOCCOCCOCCC(NC(C(C)(C)C)C(N6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 9,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(COCCO[C]COCCOCCOCC(NC(C(C)(C)C)C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 10,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCOCCOCCOCCOCCOCCC(NC(C(C)(C)C)C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 11,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCC(NC(C(C)(C)C)C(N6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 12,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCCC(NC(C(C)(C)C)C(C6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 13,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCCCC(NC(C(C)(C)C)C(N6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 14,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCCCCC(NC(C(C)(C)C)C(C6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 15,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCCCCCC(NC(C(C)(C)C)C(C6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
VH032,CC(N=CS1)=C1C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(C)=O)=O)=O)C=C2
Thalidomide,O=C1N(C2CCC(NC2=O)=O)C(C3=CC=CC=C31)=O
JQ1,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
Mirdametinib,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O
Palbociclib,CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N4CCNCC4)N=C2N(C5CCCC5)C1=O
IACS-9571,O=S(C1=CC=C(OC)C(OC)=C1)(NC2=C(OC3=CC(OCCC)=CC(OCCCCN(C)C)=C3)C=C(N4C)C(N(C)C4=O)=C2)=O
Tazmetostat,O=C(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(N(CC)C4CCOCC4)=C1C)NCC5=C(C)C=C(C)NC5=O
